nr_convenio;id_proposta
822412;996051
834625;1083381
730613;142238
963163;1994934
898077;1543766
909568;1618026
762967;478565
705350;36085
987430;2152307
897680;1541609
745826;301663
836909;1109069
732167;203245
857938;1257505
782341;673429
841127;1066192
873540;1336838
845217;1169644
826697;1055589
821035;1005880
748305;330443
871834;1335834
824841;1032371
861953;1289391
923325;1686541
783679;741142
762491;522892
748553;313207
790062;754988
864541;1325559
926872;1755135
831842;1067500
755173;382262
942749;1879929
843897;1166595
702586;9050
940236;1829362
966062;1999584
734682;213637
917693;1684915
963987;1922987
972321;1985447
737922;210125
993931;2154064
712491;120353
945529;1855099
727390;170195
850624;1243720
867041;1335577
727066;144644
977983;2107732
984433;2114575
748771;311185
733899;290017
780508;647048
771514;586179
922645;1718748
987278;2113222
914019;1658826
773500;581112
844105;1159462
718514;71030
949506;1928616
951705;1942871
707974;74297
716394;131513
719874;127806
875224;1364549
842953;1164118
820034;988370
831690;1066736
777607;560867
979693;2116877
700635;16699
953229;1947556
825495;1020855
829450;1059131
858708;1189322
918910;1714846
908909;1611568
895190;1419408
948319;1913184
777044;638196
708985;119702
739438;315358
700104;2011
899972;1539106
930516;1746062
757383;426731
810109;892534
877186;1325121
994237;2187956
804200;850467
917020;1703568
828335;1079199
897272;1523573
762488;522302
737987;216569
786779;717487
719013;152396
906691;1545630
906762;1606717
712324;77756
715356;108276
995505;2187031
983546;2144493
947551;1906669
701455;11576
939992;1824727
909768;1655821
893811;1512935
794544;785389
750924;352315
706884;79952
920667;1701334
890092;1466922
829957;1067486
764617;517586
706548;88072
924644;1732521
734064;298976
749016;253103
750545;355558
806268;862800
740659;209083
746477;246626
817780;1000255
806947;857719
760603;513261
973659;2041351
700122;4493
831918;1078275
862833;1276325
922529;1704229
853915;1274066
931282;1777326
940688;1853656
913405;1664597
738928;299977
898830;1534085
722359;78605
771565;602138
701931;31856
834724;1063067
897035;1521126
956459;1971687
824019;1027763
853203;1276528
703689;44541
734173;292653
846326;1174198
903966;1550771
710917;75385
784643;739887
880914;1358761
724849;141778
770113;589018
921375;1687252
704915;98336
750339;371441
819435;994431
743433;312523
738963;216660
778109;650902
767007;532602
733396;252545
704927;101760
890501;1499171
773528;583219
950614;1935043
727990;92589
724483;80290
863190;1189448
984276;2089871
927778;1749363
749307;338360
896365;1514738
823921;1028409
853338;1272313
913240;1665130
855005;1279375
869125;1338197
854698;1275463
936501;1809513
836040;1087293
869307;1325327
987792;2089589
765095;528941
973758;1969817
854547;1270227
814287;919698
771786;613682
802348;871502
880426;1386409
976426;2091899
949052;1929144
704836;48053
960436;1975180
995336;2185988
706701;110022
720683;107339
821181;995271
994083;2187409
736680;255023
892891;1421863
926512;1753975
992796;2167231
963578;1977557
718996;121378
711088;83991
884704;1419664
838204;1104535
700799;10401
919849;1627495
714808;104114
863524;1289753
908543;1612361
890100;1465408
828120;1054444
737110;208426
713697;120219
980562;2126299
706944;109577
921454;1699011
856751;1160364
826927;1057000
836770;1107540
930630;1773560
878804;1367577
840618;1124957
915208;1684456
814491;859577
702230;12838
912086;1656417
960210;1965160
796415;785384
918677;1702230
855914;1270360
742702;248257
972055;1998155
771230;557471
906003;1588116
856576;1162779
912364;1666114
727709;77985
760594;511788
924878;1732807
793238;761233
801535;862178
984909;2148466
879872;1394936
982294;2118656
870439;1341445
747832;246666
945316;1885050
804992;853105
832960;1066362
760096;482686
914155;1680031
730878;106272
871298;1359348
719049;110751
738201;205024
916143;1690478
874471;1338824
723646;99667
921890;1714502
749111;311430
823872;1029511
761781;518025
858218;1274656
724668;114978
708798;59248
977795;2091832
868941;1326514
917432;1705373
803147;858325
959935;1972787
787768;686333
861935;1242046
849645;1203069
708851;116516
704097;49261
913279;1658977
739357;249488
948468;1921768
929125;1748102
788450;711626
860823;1258875
977567;2091842
855062;1275603
896913;1473549
931241;1750511
741780;253615
867006;1335493
815918;924524
995022;2186208
758345;450945
789267;761032
898388;1533760
928999;1752298
828133;1059615
771050;594521
980784;2122453
919850;1687978
711783;93489
875584;1363591
933989;1793283
790196;768746
940304;1823464
838238;1118672
892153;1513822
842594;1067951
795468;770121
705038;74550
972744;2040250
818200;996745
835674;1093408
799965;649945
712535;139686
771769;600127
868495;1332836
904613;1582980
806843;856446
994546;2196500
870012;1350874
849516;1234444
835670;1063657
773086;609079
955344;1951161
722228;100748
905341;1592798
786842;752436
841956;1134035
924861;1724242
719772;125494
808475;862484
930349;1747221
813078;836851
978061;2108873
