codigo_siafi;processo_compra_siad;numero_empenho;data_empenho;razao_social_credor;cnpj_cpf_credor;categoria_economica_codigo;categoria_economica_descricao;grupo_despesa_codigo;grupo_despesa_descricao;codigo_elemento;elemento_despesa;modalidade_aplicacao_codigo;modalidade_aplicacao_descricao;codigo_item;item_despesa;codigo_fonte;fonte_recurso;valor_empenhado;valor_inscrito_rpp;valor_inscrito_rpnp;valor_liquidado_rp;valor_cancelado_rpp;valor_cancelado_rpnp;valor_restabelecido_rpp;valor_restabelecido_rpnp;valor_pago_rpp;valor_pago_rpnp
9241504;1251855 000039/2022;467;2023-03-09;MQS SOLUCOES EM AUTOMACAO INDUSTRIAL LTDA;12.715.096/0001-53;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;51;OBRAS E INSTALACOES;90;APLICACOES DIRETAS;3;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;1;CONVENIOS COM A UNIAO E SUAS ENTIDADES - EMENDAS INDIVIDUAIS;156755,21;0,0;156755,21;156755,21;0,0;0,0;0;0,0;0,0;131674,38
9241504;1251855 000039/2022;768;2023-06-13;MQS SOLUCOES EM AUTOMACAO INDUSTRIAL LTDA;12.715.096/0001-53;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;51;OBRAS E INSTALACOES;90;APLICACOES DIRETAS;3;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;11545,6;0,0;11545,6;11545,6;0,0;0,0;0;0,0;0,0;9698,3
9241504;1251855 000039/2022;769;2023-06-13;MQS SOLUCOES EM AUTOMACAO INDUSTRIAL LTDA;12.715.096/0001-53;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;51;OBRAS E INSTALACOES;90;APLICACOES DIRETAS;3;EXECUCAO DE OBRAS POR CONTRATO DE BENS PATRIMONIAVEIS;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;96086,67;0,0;96086,67;96086,67;0,0;0,0;0;0,0;0,0;80712,81
9256228;1250071 000062/2020;201;2020-10-15;TAIT COMUNICACOES BRASIL LTDA;67.116.715/0001-85;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;90;APLICACOES DIRETAS;6;EQUIPAMENTOS DE COMUNICACAO E TELEFONIA;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;5250,0;0,0;5250,0;5250,0;0,0;0,0;0;0,0;0,0;5250,0
9256228;1250072 000021/2020;132;2020-12-11;HPE AUTOMOTORES DO BRASIL LTDA;54.305.743/0011-70;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;90;APLICACOES DIRETAS;17;VEICULOS;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;161000,0;0,0;161000,0;161000,0;0,0;0,0;0;0,0;0,0;161000,0
9256228;1250084 000104/2020;141;2020-10-06;COMPANHIA BRASILEIRA DE CARTUCHOS;57.494.031/0010-54;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;90;APLICACOES DIRETAS;3;ARMAMENTO E EQUIPAMENTO DE USO POLICIAL;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,0;8968,23;0,0;0,0;0,0;0,0;0;0,0;8968,23;0,0
9256229;1501561 000047/2021;1;2021-12-10;FAGUNDEZ DISTRIBUICAO LTDA;07.953.689/0001-18;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;90;APLICACOES DIRETAS;7;EQUIPAMENTOS DE INFORMATICA;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;14912,85;0,0;14912,85;14912,85;0,0;0,0;0;0,0;0,0;14912,85
9256229;1501561 000047/2021;2;2021-12-10;POSITIVO TECNOLOGIA S.A.;81.243.735/0009-03;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;52;EQUIPAMENTOS E MATERIAL PERMANENTE;90;APLICACOES DIRETAS;7;EQUIPAMENTOS DE INFORMATICA;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;19835,0;0,0;19835,0;19835,0;0,0;0,0;0;0,0;0,0;19835,0
9259519;0000000 000000/0000;381;2020-12-30;PM SANTA RITA DO SAPUCAI;18.192.898/0001-02;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;42;AUXILIOS;40;TRANSFERENCIAS A MUNICIPIOS;1;AUXILIOS;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,0;700000,0;0,0;0,0;0,0;0,0;0;0,0;700000,0;0,0
9259519;0000000 000000/0000;460;2021-12-30;PM DIVINOPOLIS;18.291.351/0001-64;4;DESPESAS DE CAPITAL;4;INVESTIMENTOS;42;AUXILIOS;40;TRANSFERENCIAS A MUNICIPIOS;1;AUXILIOS;97;TRANSFERENCIAS ESPECIAIS DE RECURSOS DA UNIAO;0,0;320000,0;0,0;0,0;0,0;0,0;0;0,0;320000,0;0,0
