id_plano_acao;id_executor;cnpj_executor;nome_executor;objeto_executor;valor_custeio;valor_capital;ano_plano_acao;modalidade_plano_acao;situacao_plano_acao;cnpj_beneficiario_plano_acao;nome_beneficiario_plano_acao;uf_beneficiario_plano_acao;codigo_emenda_e_parlamentar;valor_da_emenda;classificacao_orcamentaria_plano_de_trabalho
33145;14307;18715573000167;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;Transferência Especial para aquisição de equipamentos para apicultura (Programa Nosso Mel).  ;678604;0;2023;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202339760002-Emidinho Madeira;814604;
33145;14308;5465167000141;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;Transferência Especial para Aquisição de kits esportivos.  ;136000;0;2023;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202339760002-Emidinho Madeira;814604;
41913;28533;18715532000170;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;Reforma/Construção/Ampliação da Delegacia Especializada de Atendimento à Mulher de Teófilo Otoni/MG. ;0;188762;2023;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202323680021-Fábio Ramalho;188762;Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subfunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: Número SIAFI: 9407914 Especificação: Recursos de Transferências Especiais da União Função: 6 - Segurança Pública Subfunção: 181 - Policiamento Ação: 4025 - GESTÃO DAS UNIDADES POLICIAIS (LOA MG 2023) Fonte: 97 - TRANSFERÊNCIAS ESPECIAIS DE RECURSOS DA UNIÃO - RECURSOS RECEBIDOS ATÉ 2023 Valor: R$188.762,00 (44.90.51)
66441;10436;18715532000170;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;Aquisição de Rabecão a ser entregue à Polícia Civil do 8º DEPPC de Governador Valadares – MG;0;350000;2024;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202439780001-Euclydes Pettersen;350000;Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subfunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: Número SIAFI: 9445614 Especificação: Recursos de Transferências Especiais da União Função: 6 - Segurança Pública Subfunção: 181 - Policiamento Ação: 4060 - GESTÃO DAS UNIDADES POLICIAIS (LOA MG 2024) Fonte: 98 - TRANSFERÊNCIAS ESPECIAIS DE RECURSOS DA UNIÃO Valor: R$350.000,00 (44.90.52)
3498;9341;18715615000160;ESTADO DE MINAS GERAIS;Reforma do prédio utilizado para perícias médicas no Estado de Minas Gerais.;0;450000;2020;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202041940001-FABIANO GALLETTI TOLENTINO;5660000;"Questionamento: assegurar que o beneficiário da emenda possa indicar no seu orçamento próprio o recurso recebido 2020  Os recursos provenientes das Transferências Especiais recebidos pelo Estado de Minas Gerais no ano de 2020, embora não tenham sido previstos na Lei Orçamentária Anual (LOA) daquele exercício, foram arrecadados e incorporados ao orçamento estadual por meio da abertura de créditos suplementares, conforme previsto no artigo 43 da Lei nº 4.320, de 17 de março de 1964. Esse artigo estabelece que a abertura de créditos suplementares e especiais depende da existência de recursos disponíveis e deve ser precedida de exposição justificativa. No caso específico, a suplementação foi realizada com fundamento no inciso II do artigo 43, que considera como recurso disponível o excesso de arrecadação:  Art. 43. A abertura dos créditos suplementares e especiais depende da existência de recursos disponíveis para ocorrer à despesa e será precedida de exposição justificativa. § 1º Consideram-se recursos para o fim dêste artigo, desde que não comprometidos: I - o superavit financeiro apurado em balanço patrimonial do exercício anterior; II - os provenientes de excesso de arrecadação;  A arrecadação dos recursos foi registrada nas seguintes classificações:   SEDESE •	2418.99.1.1.99.001- Receita de Capital – R$2.110.000,00 SEINFRA •	2418.99.1.1.99.001- Receita de Capital – R$500.000,00 SEAPA •	2418.99.1.1.99.001- Receita de Capital – R$2.500.000,00 SEGOV •	2418.99.1.1.99.001- Receita de Capital – R$450.000,00   Caso esses recursos não tenham sido integralmente executados dentro do exercício financeiro de 2020, sua utilização nos anos seguintes pode ser assegurada por meio do superávit financeiro, conforme previsto no inciso I do artigo 43 da Lei nº 4.320/1964. O superávit financeiro é apurado no balanço patrimonial do exercício encerrado e pode ser utilizado para suplementação do orçamento nos anos subsequentes, garantindo a continuidade da execução desses recursos.  Por fim, destaca-se que a Lei Orçamentária Anual dispõe sobre a estimativa de receitas e a fixação de despesas para um determinado exercício financeiro. Assim, a forma adequada de assegurar a continuidade dos recursos recebidos em um exercício para sua execução nos anos subsequentes é por meio do reconhecimento do superávit financeiro, uma vez que se trata de receitas distintas daquelas originalmente previstas na LOA do exercício corrente.   Resposta Diligência Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subsunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: SEDESE Número SIAFI: 9259519 Dotação orçamentária: 27.812.043.4.086.0001 Ação: 4086 Fonte: 97 Rubrica:  444042 – R$2.100.000,00   SEINFRA Número SIAFI: 9260642 Dotação orçamentária: 15.451.071.4.154.0001 Ação: 4154 Fonte: 97 Rubrica:  449052 – R$ 500.000,00  SEAPA Número SIAFI: 9260670 Dotação orçamentária: 20.608.127.4.512.0001 Ação: 4512 Fonte: 97 Rubrica:  449052 – R$2.600.000,00 "
3498;9338;18715573000167;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;Compra de Compra de maquinário agrícola para os  municípios: Itajubá, Pouso Alegre, Turvolândia Desenvolvimento de Ações do Programa de melhoramento genético bovino de Divinópolis  ;0;2600000;2020;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202041940001-FABIANO GALLETTI TOLENTINO;5660000;"Questionamento: assegurar que o beneficiário da emenda possa indicar no seu orçamento próprio o recurso recebido 2020  Os recursos provenientes das Transferências Especiais recebidos pelo Estado de Minas Gerais no ano de 2020, embora não tenham sido previstos na Lei Orçamentária Anual (LOA) daquele exercício, foram arrecadados e incorporados ao orçamento estadual por meio da abertura de créditos suplementares, conforme previsto no artigo 43 da Lei nº 4.320, de 17 de março de 1964. Esse artigo estabelece que a abertura de créditos suplementares e especiais depende da existência de recursos disponíveis e deve ser precedida de exposição justificativa. No caso específico, a suplementação foi realizada com fundamento no inciso II do artigo 43, que considera como recurso disponível o excesso de arrecadação:  Art. 43. A abertura dos créditos suplementares e especiais depende da existência de recursos disponíveis para ocorrer à despesa e será precedida de exposição justificativa. § 1º Consideram-se recursos para o fim dêste artigo, desde que não comprometidos: I - o superavit financeiro apurado em balanço patrimonial do exercício anterior; II - os provenientes de excesso de arrecadação;  A arrecadação dos recursos foi registrada nas seguintes classificações:   SEDESE •	2418.99.1.1.99.001- Receita de Capital – R$2.110.000,00 SEINFRA •	2418.99.1.1.99.001- Receita de Capital – R$500.000,00 SEAPA •	2418.99.1.1.99.001- Receita de Capital – R$2.500.000,00 SEGOV •	2418.99.1.1.99.001- Receita de Capital – R$450.000,00   Caso esses recursos não tenham sido integralmente executados dentro do exercício financeiro de 2020, sua utilização nos anos seguintes pode ser assegurada por meio do superávit financeiro, conforme previsto no inciso I do artigo 43 da Lei nº 4.320/1964. O superávit financeiro é apurado no balanço patrimonial do exercício encerrado e pode ser utilizado para suplementação do orçamento nos anos subsequentes, garantindo a continuidade da execução desses recursos.  Por fim, destaca-se que a Lei Orçamentária Anual dispõe sobre a estimativa de receitas e a fixação de despesas para um determinado exercício financeiro. Assim, a forma adequada de assegurar a continuidade dos recursos recebidos em um exercício para sua execução nos anos subsequentes é por meio do reconhecimento do superávit financeiro, uma vez que se trata de receitas distintas daquelas originalmente previstas na LOA do exercício corrente.   Resposta Diligência Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subsunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: SEDESE Número SIAFI: 9259519 Dotação orçamentária: 27.812.043.4.086.0001 Ação: 4086 Fonte: 97 Rubrica:  444042 – R$2.100.000,00   SEINFRA Número SIAFI: 9260642 Dotação orçamentária: 15.451.071.4.154.0001 Ação: 4154 Fonte: 97 Rubrica:  449052 – R$ 500.000,00  SEAPA Número SIAFI: 9260670 Dotação orçamentária: 20.608.127.4.512.0001 Ação: 4512 Fonte: 97 Rubrica:  449052 – R$2.600.000,00 "
3498;9339;5465167000141;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;Construção de quadra em Santa Rita do Sapucaí Construção de quadra poliesportiva no bairro São João em Abaeté Construção de duas academias populares em Passa Tempo Construção de academia popular em Entre Rios de Minas Construção de dois parquinhos infantis em Bambuí Reforma e Pintura do Ginásio Poliesportivo do Centro em Divinópolis Reforma e pintura do DTC, Clube da Prefeitura em Divinópolis Reforma e Pintura do Parque da Ilha em Divinópolis Reforma e pintura do Poliesportivo do Niterói em Divinópolis;0;2110000;2020;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202041940001-FABIANO GALLETTI TOLENTINO;5660000;"Questionamento: assegurar que o beneficiário da emenda possa indicar no seu orçamento próprio o recurso recebido 2020  Os recursos provenientes das Transferências Especiais recebidos pelo Estado de Minas Gerais no ano de 2020, embora não tenham sido previstos na Lei Orçamentária Anual (LOA) daquele exercício, foram arrecadados e incorporados ao orçamento estadual por meio da abertura de créditos suplementares, conforme previsto no artigo 43 da Lei nº 4.320, de 17 de março de 1964. Esse artigo estabelece que a abertura de créditos suplementares e especiais depende da existência de recursos disponíveis e deve ser precedida de exposição justificativa. No caso específico, a suplementação foi realizada com fundamento no inciso II do artigo 43, que considera como recurso disponível o excesso de arrecadação:  Art. 43. A abertura dos créditos suplementares e especiais depende da existência de recursos disponíveis para ocorrer à despesa e será precedida de exposição justificativa. § 1º Consideram-se recursos para o fim dêste artigo, desde que não comprometidos: I - o superavit financeiro apurado em balanço patrimonial do exercício anterior; II - os provenientes de excesso de arrecadação;  A arrecadação dos recursos foi registrada nas seguintes classificações:   SEDESE •	2418.99.1.1.99.001- Receita de Capital – R$2.110.000,00 SEINFRA •	2418.99.1.1.99.001- Receita de Capital – R$500.000,00 SEAPA •	2418.99.1.1.99.001- Receita de Capital – R$2.500.000,00 SEGOV •	2418.99.1.1.99.001- Receita de Capital – R$450.000,00   Caso esses recursos não tenham sido integralmente executados dentro do exercício financeiro de 2020, sua utilização nos anos seguintes pode ser assegurada por meio do superávit financeiro, conforme previsto no inciso I do artigo 43 da Lei nº 4.320/1964. O superávit financeiro é apurado no balanço patrimonial do exercício encerrado e pode ser utilizado para suplementação do orçamento nos anos subsequentes, garantindo a continuidade da execução desses recursos.  Por fim, destaca-se que a Lei Orçamentária Anual dispõe sobre a estimativa de receitas e a fixação de despesas para um determinado exercício financeiro. Assim, a forma adequada de assegurar a continuidade dos recursos recebidos em um exercício para sua execução nos anos subsequentes é por meio do reconhecimento do superávit financeiro, uma vez que se trata de receitas distintas daquelas originalmente previstas na LOA do exercício corrente.   Resposta Diligência Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subsunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: SEDESE Número SIAFI: 9259519 Dotação orçamentária: 27.812.043.4.086.0001 Ação: 4086 Fonte: 97 Rubrica:  444042 – R$2.100.000,00   SEINFRA Número SIAFI: 9260642 Dotação orçamentária: 15.451.071.4.154.0001 Ação: 4154 Fonte: 97 Rubrica:  449052 – R$ 500.000,00  SEAPA Número SIAFI: 9260670 Dotação orçamentária: 20.608.127.4.512.0001 Ação: 4512 Fonte: 97 Rubrica:  449052 – R$2.600.000,00 "
3498;9340;18715581000103;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;Pavimentação de Vias no município de Pequi Pavimentação de Vias no município de Carmo do Cajuru Pavimentação de Vias no município de Araújos;0;500000;2020;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202041940001-FABIANO GALLETTI TOLENTINO;5660000;"Questionamento: assegurar que o beneficiário da emenda possa indicar no seu orçamento próprio o recurso recebido 2020  Os recursos provenientes das Transferências Especiais recebidos pelo Estado de Minas Gerais no ano de 2020, embora não tenham sido previstos na Lei Orçamentária Anual (LOA) daquele exercício, foram arrecadados e incorporados ao orçamento estadual por meio da abertura de créditos suplementares, conforme previsto no artigo 43 da Lei nº 4.320, de 17 de março de 1964. Esse artigo estabelece que a abertura de créditos suplementares e especiais depende da existência de recursos disponíveis e deve ser precedida de exposição justificativa. No caso específico, a suplementação foi realizada com fundamento no inciso II do artigo 43, que considera como recurso disponível o excesso de arrecadação:  Art. 43. A abertura dos créditos suplementares e especiais depende da existência de recursos disponíveis para ocorrer à despesa e será precedida de exposição justificativa. § 1º Consideram-se recursos para o fim dêste artigo, desde que não comprometidos: I - o superavit financeiro apurado em balanço patrimonial do exercício anterior; II - os provenientes de excesso de arrecadação;  A arrecadação dos recursos foi registrada nas seguintes classificações:   SEDESE •	2418.99.1.1.99.001- Receita de Capital – R$2.110.000,00 SEINFRA •	2418.99.1.1.99.001- Receita de Capital – R$500.000,00 SEAPA •	2418.99.1.1.99.001- Receita de Capital – R$2.500.000,00 SEGOV •	2418.99.1.1.99.001- Receita de Capital – R$450.000,00   Caso esses recursos não tenham sido integralmente executados dentro do exercício financeiro de 2020, sua utilização nos anos seguintes pode ser assegurada por meio do superávit financeiro, conforme previsto no inciso I do artigo 43 da Lei nº 4.320/1964. O superávit financeiro é apurado no balanço patrimonial do exercício encerrado e pode ser utilizado para suplementação do orçamento nos anos subsequentes, garantindo a continuidade da execução desses recursos.  Por fim, destaca-se que a Lei Orçamentária Anual dispõe sobre a estimativa de receitas e a fixação de despesas para um determinado exercício financeiro. Assim, a forma adequada de assegurar a continuidade dos recursos recebidos em um exercício para sua execução nos anos subsequentes é por meio do reconhecimento do superávit financeiro, uma vez que se trata de receitas distintas daquelas originalmente previstas na LOA do exercício corrente.   Resposta Diligência Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subsunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: SEDESE Número SIAFI: 9259519 Dotação orçamentária: 27.812.043.4.086.0001 Ação: 4086 Fonte: 97 Rubrica:  444042 – R$2.100.000,00   SEINFRA Número SIAFI: 9260642 Dotação orçamentária: 15.451.071.4.154.0001 Ação: 4154 Fonte: 97 Rubrica:  449052 – R$ 500.000,00  SEAPA Número SIAFI: 9260670 Dotação orçamentária: 20.608.127.4.512.0001 Ação: 4512 Fonte: 97 Rubrica:  449052 – R$2.600.000,00 "
3952;16165;16695025000197;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;Transferência Especial para aquisição de viaturas, armamento e equipamentos de comunicação Portátil Digital para a Polícia Militar de Minas Gerais.;0;197000;2020;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202039910005-Fred Costa;247000;"Os recursos provenientes das Transferências Especiais recebidos pelo Estado de Minas Gerais no ano de 2020, embora não tenham sido previstos na Lei Orçamentária Anual (LOA) daquele exercício, foram arrecadados e incorporados ao orçamento estadual por meio da abertura de créditos suplementares, conforme previsto no artigo 43 da Lei nº 4.320, de 17 de março de 1964. Esse artigo estabelece que a abertura de créditos suplementares e especiais depende da existência de recursos disponíveis e deve ser precedida de exposição justificativa. No caso específico, a suplementação foi realizada com fundamento no inciso II do artigo 43, que considera como recurso disponível o excesso de arrecadação:  Art. 43. A abertura dos créditos suplementares e especiais depende da existência de recursos disponíveis para ocorrer à despesa e será precedida de exposição justificativa. § 1º Consideram-se recursos para o fim dêste artigo, desde que não comprometidos: I - o superavit financeiro apurado em balanço patrimonial do exercício anterior; II - os provenientes de excesso de arrecadação;  A arrecadação dos recursos foi registrada nas seguintes classificações:    •	2418.99.1.1.99.001 - Receita de Capital – R$6.157.000,00 •	1321.00.1.1.01.000 – Rendimento – R$5.415,44  Caso esses recursos não tenham sido integralmente executados dentro do exercício financeiro de 2020, sua utilização nos anos seguintes pode ser assegurada por meio do superávit financeiro, conforme previsto no inciso I do artigo 43 da Lei nº 4.320/1964. O superávit financeiro é apurado no balanço patrimonial do exercício encerrado e pode ser utilizado para suplementação do orçamento nos anos subsequentes, garantindo a continuidade da execução desses recursos.  Por fim, destaca-se que a Lei Orçamentária Anual dispõe sobre a estimativa de receitas e a fixação de despesas para um determinado exercício financeiro. Assim, a forma adequada de assegurar a continuidade dos recursos recebidos em um exercício para sua execução nos anos subsequentes é por meio do reconhecimento do superávit financeiro, uma vez que se trata de receitas distintas daquelas originalmente previstas na LOA do exercício corrente.   Resposta Diligência  Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subsunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: PMMG Número SIAFI: 9256228 Dotação orçamentária: 06.181.034.4.507.0001 Ação: 4250 e 4322 Fonte: 97 Rubrica:  449052 – R$197.000,00  SECULT Número SIAFI: 9256229 Dotação orçamentária: 13.392.054.4.250.0001 e 13.392.056.4.322.0001 Ação: 4383 Fonte: 98 Rubrica:  449052 – R$50.000,00 "
3952;16166;19138890000120;MINAS GERAIS SECRETARIA DE ESTADO DE CULTURA E TURISMO;Transferência Especial para aquisição de equipamentos para estruturação e funcionamento da Biblioteca Pública Estadual, localizada na Praça da Liberdade, nº21 , Bairro Savassi - Belo Horizonte/MG, possibilitando a continuidade dos serviços prestados aos cidadãos.;0;50000;2020;Especial;CIENTE;18715615000160;ESTADO DE MINAS GERAIS;MG;202039910005-Fred Costa;247000;"Os recursos provenientes das Transferências Especiais recebidos pelo Estado de Minas Gerais no ano de 2020, embora não tenham sido previstos na Lei Orçamentária Anual (LOA) daquele exercício, foram arrecadados e incorporados ao orçamento estadual por meio da abertura de créditos suplementares, conforme previsto no artigo 43 da Lei nº 4.320, de 17 de março de 1964. Esse artigo estabelece que a abertura de créditos suplementares e especiais depende da existência de recursos disponíveis e deve ser precedida de exposição justificativa. No caso específico, a suplementação foi realizada com fundamento no inciso II do artigo 43, que considera como recurso disponível o excesso de arrecadação:  Art. 43. A abertura dos créditos suplementares e especiais depende da existência de recursos disponíveis para ocorrer à despesa e será precedida de exposição justificativa. § 1º Consideram-se recursos para o fim dêste artigo, desde que não comprometidos: I - o superavit financeiro apurado em balanço patrimonial do exercício anterior; II - os provenientes de excesso de arrecadação;  A arrecadação dos recursos foi registrada nas seguintes classificações:    •	2418.99.1.1.99.001 - Receita de Capital – R$6.157.000,00 •	1321.00.1.1.01.000 – Rendimento – R$5.415,44  Caso esses recursos não tenham sido integralmente executados dentro do exercício financeiro de 2020, sua utilização nos anos seguintes pode ser assegurada por meio do superávit financeiro, conforme previsto no inciso I do artigo 43 da Lei nº 4.320/1964. O superávit financeiro é apurado no balanço patrimonial do exercício encerrado e pode ser utilizado para suplementação do orçamento nos anos subsequentes, garantindo a continuidade da execução desses recursos.  Por fim, destaca-se que a Lei Orçamentária Anual dispõe sobre a estimativa de receitas e a fixação de despesas para um determinado exercício financeiro. Assim, a forma adequada de assegurar a continuidade dos recursos recebidos em um exercício para sua execução nos anos subsequentes é por meio do reconhecimento do superávit financeiro, uma vez que se trata de receitas distintas daquelas originalmente previstas na LOA do exercício corrente.   Resposta Diligência  Até o final do ao exercício de 2023, não existia uma regulamentação específica para a execução das TEs. Essa regulamentação se iniciou com a IN 93/2024 e a partir desta normativa foi criado no Transferegov no módulo das TES a funcionalidade de beneficiários executores.  Até então a estimativa de receitas e fixação de receitas nas Leis orçamentárias estaduais, eram feitas com base no disposto no art, 166-A da Constituição Federal, que estabelece que as receitas de TEs pertencem ao ente federado, Estado de Minas Gerais.  Nesse sentido as despesas eram previstas na LOA em dotações genéricas da Secretaria de Estado de Casa Civil, como janela orçamentária para captação de recursos.  Além disso, a indicação dos entes beneficiários das emendas, ocorre no exercício seguinte à elaboração da LOA Federal.  Por este motivo a Administração Pública Estadual não consegue prever com exatidão a destinação das emendas para o orçamento estadual, o que dificulta a alocação assertiva dos recursos por função e subsunção.  Vale ressaltar que a previsão dos recursos de TEs na dotação geral, permite posterior remanejamento dos recursos para os órgãos beneficiários, após as indicações dos parlamentares e aceite das emendas. A TE em questão foi cadastrada no Sistema de Execução de Convênios do Estado, SIGCON, gerando: PMMG Número SIAFI: 9256228 Dotação orçamentária: 06.181.034.4.507.0001 Ação: 4250 e 4322 Fonte: 97 Rubrica:  449052 – R$197.000,00  SECULT Número SIAFI: 9256229 Dotação orçamentária: 13.392.054.4.250.0001 e 13.392.056.4.322.0001 Ação: 4383 Fonte: 98 Rubrica:  449052 – R$50.000,00 "
